Driver,Importance,Rank,ModelAUC
Interest Rate,0.25200952104948865,1,0.6978962341876012
Credit Grade,0.2280241353804719,2,0.6978962341876012
Annual Income,0.1301965110388903,3,0.6978962341876012
Loan Term,0.11759288329481582,4,0.6978962341876012
Debt-to-Income Ratio,0.07765036257333617,5,0.6978962341876012
Loan Amount,0.06609446283993822,6,0.6978962341876012
Loan Purpose,0.061899605819948536,7,0.6978962341876012
Home Ownership,0.03033566165676312,8,0.6978962341876012
Income Verification,0.02516720532840925,9,0.6978962341876012
Delinquencies,0.0072708696882880786,10,0.6978962341876012
Public Records,0.0037587813296500587,11,0.6978962341876012
