measure,source_file
"Loan Applications","Measure.tmdl"
"Borrowers","Measure.tmdl"
"Loan Amount","Measure.tmdl"
"Funded Amount","Measure.tmdl"
"Outstanding Principal","Measure.tmdl"
"Total Payments","Measure.tmdl"
"Expected Repayment","Measure.tmdl"
"Recovery Rate","Measure.tmdl"
"Good Loan Count","Measure.tmdl"
"Neutral Loan Count","Measure.tmdl"
"Bad Loan Count","Measure.tmdl"
"Bad Loan Rate","Measure.tmdl"
"Average Loan Amount","Measure.tmdl"
"Average Interest Rate","Measure.tmdl"
"Average DTI","Measure.tmdl"
"Funding Rate","Measure.tmdl"
"Loans per Borrower","Measure.tmdl"
"Income Verification Rate","Measure.tmdl"
"Verified Borrower Funded Amount","Measure.tmdl"
"Active Grades","Measure.tmdl"
"Low Recovery Exposure","Measure.tmdl"
"High Risk Rule Loans","Measure.tmdl"
"High Risk Rule Rate","Measure.tmdl"
"60M Bad Loan Rate","Measure.tmdl"
"Recovery Target Gap","Measure.tmdl"
"Verification Bad Rate Gap","Measure.tmdl"
"Expected Loss","Measure.tmdl"
"State Loan Rank","Measure.tmdl"
"Top 5 State Loan Amount","Measure.tmdl"
"Purpose Loan Rank","Measure.tmdl"
"Top 5 Purpose Loan Amount","Measure.tmdl"
"Purpose Recovery Risk Rank","Measure.tmdl"
"Top 5 Purpose Low Recovery Exposure","Measure.tmdl"
"Loan Amount Previous Month","Measure.tmdl"
"Loan Amount MoM","Measure.tmdl"
"Loan Amount Previous Year","Measure.tmdl"
"Loan Amount YoY","Measure.tmdl"
"Funded Amount Previous Month","Measure.tmdl"
"Funded Amount MoM","Measure.tmdl"
"Loan Applications Previous Month","Measure.tmdl"
"Loan Applications MoM","Measure.tmdl"
"Outstanding Principal Previous Month","Measure.tmdl"
"Outstanding Principal MoM","Measure.tmdl"
"Bad Loan Rate Previous Month","Measure.tmdl"
"Bad Loan Rate Variance pp","Measure.tmdl"
"Borrowers Previous Month","Measure.tmdl"
"Borrowers MoM","Measure.tmdl"
"Verified Funding Previous Month","Measure.tmdl"
"Verified Funding MoM","Measure.tmdl"
"Avg Loan Previous Month","Measure.tmdl"
"Avg Loan MoM","Measure.tmdl"
"Avg Interest Previous Month","Measure.tmdl"
"Avg Interest MoM","Measure.tmdl"
"Loans per Borrower Previous Month","Measure.tmdl"
"Loans per Borrower MoM","Measure.tmdl"
"Income Verification Previous Month","Measure.tmdl"
"Income Verification Variance pp","Measure.tmdl"
"Active Grades Previous Month","Measure.tmdl"
"Active Grades MoM","Measure.tmdl"
"Low Recovery Exposure Previous Month","Measure.tmdl"
"Low Recovery Exposure MoM","Measure.tmdl"
"Recovery Rate Previous Month","Measure.tmdl"
"Recovery Rate Variance pp","Measure.tmdl"
"KPI Loan Amount Display","Measure.tmdl"
"KPI Funded Amount Display","Measure.tmdl"
"KPI Loan Applications Display","Measure.tmdl"
"KPI Outstanding Principal Display","Measure.tmdl"
"KPI Bad Loan Rate Display","Measure.tmdl"
"KPI Borrowers Display","Measure.tmdl"
"KPI Loan Amount per Customer Display","Measure.tmdl"
"KPI Avg Loan Display","Measure.tmdl"
"KPI Loans per Borrower Display","Measure.tmdl"
"KPI Income Verification Display","Measure.tmdl"
"KPI Grades Display","Measure.tmdl"
"KPI Recovery Rate Display","Measure.tmdl"
"KPI Low Recovery Exposure Display","Measure.tmdl"
"KPI Avg Interest Display","Measure.tmdl"
"Investor Funds","Measure.tmdl"
"Loan Received","Measure.tmdl"
"Raw Default Count","Measure.tmdl"
"Raw Default Rate","Measure.tmdl"
"Good Loan Rate","Measure.tmdl"
"Bad Loan Funded Amount","Measure.tmdl"
"Portfolio ROI","Measure.tmdl"
"Term 36M Applications","Measure.tmdl"
"Term 60M Applications","Measure.tmdl"
"Term 60M Share","Measure.tmdl"
"Average Delinquencies","Measure.tmdl"
"Public Record Rate","Measure.tmdl"
